epi_week,date,country,state,name_muni,abbrev_state,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,newDeaths_per_100k_inhabitants,newCases_per_100k_inhabitants,deaths_by_totalCases,_source,last_info_date,pop2019
14,2020-04-04,Brazil,SP,Botucatu,SP,3507506,0,0,7,7,0,4.72558,0,4.7782548448091084,0,SES,2021-07-20,146497
15,2020-04-07,Brazil,SP,Botucatu,SP,3507506,0,0,1,8,0,5.40066,0,0.6826078349727298,0,SES,2021-07-20,146497
15,2020-04-08,Brazil,SP,Botucatu,SP,3507506,1,1,1,9,0.67508,6.07574,0.6826078349727298,0.6826078349727298,0.11111,SES,2021-07-20,146497
15,2020-04-09,Brazil,SP,Botucatu,SP,3507506,0,1,6,15,0.67508,10.12624,0,4.095647009836378,0.06667,SES,2021-07-20,146497
16,2020-04-13,Brazil,SP,Botucatu,SP,3507506,0,1,1,16,0.67508,10.80132,0,0.6826078349727298,0.0625,SES,2021-07-20,146497
16,2020-04-14,Brazil,SP,Botucatu,SP,3507506,1,2,7,23,1.35017,15.5269,0.6826078349727298,4.7782548448091084,0.08696,SES,2021-07-20,146497
16,2020-04-16,Brazil,SP,Botucatu,SP,3507506,0,2,1,24,1.35017,16.20198,0,0.6826078349727298,0.08333,SES,2021-07-20,146497
16,2020-04-17,Brazil,SP,Botucatu,SP,3507506,0,2,3,27,1.35017,18.22723,0,2.047823504918189,0.07407,SES,2021-07-20,146497
17,2020-04-21,Brazil,SP,Botucatu,SP,3507506,0,2,1,28,1.35017,18.90232,0,0.6826078349727298,0.07143,SES,2021-07-20,146497
17,2020-04-24,Brazil,SP,Botucatu,SP,3507506,0,2,7,35,1.35017,23.62789,0,4.7782548448091084,0.05714,SES,2021-07-20,146497
17,2020-04-25,Brazil,SP,Botucatu,SP,3507506,0,2,3,38,1.35017,25.65314,0,2.047823504918189,0.05263,SES,2021-07-20,146497
18,2020-04-27,Brazil,SP,Botucatu,SP,3507506,0,2,2,40,1.35017,27.00331,0,1.3652156699454596,0.05,SES,2021-07-20,146497
18,2020-04-28,Brazil,SP,Botucatu,SP,3507506,0,2,12,52,1.35017,35.1043,0,8.191294019672757,0.03846,SES,2021-07-20,146497
18,2020-04-29,Brazil,SP,Botucatu,SP,3507506,2,4,4,56,2.70033,37.80463,1.3652156699454596,2.7304313398909192,0.07143,SES,2021-07-20,146497
18,2020-04-30,Brazil,SP,Botucatu,SP,3507506,0,4,11,67,2.70033,45.23054,0,7.508686184700028,0.0597,SES,2021-07-20,146497
18,2020-05-01,Brazil,SP,Botucatu,SP,3507506,0,4,6,73,2.70033,49.28104,0,4.095647009836378,0.05479,SES,2021-07-20,146497
18,2020-05-02,Brazil,SP,Botucatu,SP,3507506,0,4,1,74,2.70033,49.95612,0,0.6826078349727298,0.05405,SES,2021-07-20,146497
19,2020-05-06,Brazil,SP,Botucatu,SP,3507506,0,4,10,84,2.70033,56.70695,0,6.826078349727298,0.04762,SES,2021-07-20,146497
19,2020-05-07,Brazil,SP,Botucatu,SP,3507506,1,5,4,88,3.37541,59.40728,0.6826078349727298,2.7304313398909192,0.05682,SES,2021-07-20,146497
19,2020-05-08,Brazil,SP,Botucatu,SP,3507506,0,5,2,90,3.37541,60.75744,0,1.3652156699454596,0.05556,SES,2021-07-20,146497
19,2020-05-09,Brazil,SP,Botucatu,SP,3507506,0,5,5,95,3.37541,64.13286,0,3.413039174863649,0.05263,SES,2021-07-20,146497
20,2020-05-10,Brazil,SP,Botucatu,SP,3507506,0,5,6,101,3.37541,68.18335,0,4.095647009836378,0.0495,SES,2021-07-20,146497
20,2020-05-12,Brazil,SP,Botucatu,SP,3507506,0,5,5,106,3.37541,71.55877,0,3.413039174863649,0.04717,SES,2021-07-20,146497
20,2020-05-13,Brazil,SP,Botucatu,SP,3507506,0,5,15,121,3.37541,81.68501,0,10.239117524590947,0.04132,SES,2021-07-20,146497
20,2020-05-14,Brazil,SP,Botucatu,SP,3507506,0,5,3,124,3.37541,83.71025,0,2.047823504918189,0.04032,SES,2021-07-20,146497
20,2020-05-15,Brazil,SP,Botucatu,SP,3507506,0,5,6,130,3.37541,87.76075,0,4.095647009836378,0.03846,SES,2021-07-20,146497
20,2020-05-16,Brazil,SP,Botucatu,SP,3507506,1,6,13,143,4.0505,96.53683,0.6826078349727298,8.873901854645487,0.04196,SES,2021-07-20,146497
21,2020-05-17,Brazil,SP,Botucatu,SP,3507506,0,6,8,151,4.0505,101.93749,0,5.4608626797818385,0.03974,SES,2021-07-20,146497
21,2020-05-18,Brazil,SP,Botucatu,SP,3507506,0,6,8,159,4.0505,107.33815,0,5.4608626797818385,0.03774,SES,2021-07-20,146497
21,2020-05-19,Brazil,SP,Botucatu,SP,3507506,1,7,1,160,4.72558,108.01323,0.6826078349727298,0.6826078349727298,0.04375,SES,2021-07-20,146497
21,2020-05-20,Brazil,SP,Botucatu,SP,3507506,0,7,23,183,4.72558,123.54013,0,15.699980204372785,0.03825,SES,2021-07-20,146497
21,2020-05-21,Brazil,SP,Botucatu,SP,3507506,0,7,10,193,4.72558,130.29096,0,6.826078349727298,0.03627,SES,2021-07-20,146497
21,2020-05-22,Brazil,SP,Botucatu,SP,3507506,0,7,3,196,4.72558,132.31621,0,2.047823504918189,0.03571,SES,2021-07-20,146497
21,2020-05-23,Brazil,SP,Botucatu,SP,3507506,0,7,8,204,4.72558,137.71687,0,5.4608626797818385,0.03431,SES,2021-07-20,146497
22,2020-05-24,Brazil,SP,Botucatu,SP,3507506,0,7,13,217,4.72558,146.49295,0,8.873901854645487,0.03226,SES,2021-07-20,146497
22,2020-05-25,Brazil,SP,Botucatu,SP,3507506,0,7,1,218,4.72558,147.16803,0,0.6826078349727298,0.03211,SES,2021-07-20,146497
22,2020-05-27,Brazil,SP,Botucatu,SP,3507506,0,7,20,238,4.72558,160.66968,0,13.652156699454595,0.02941,SES,2021-07-20,146497
22,2020-05-28,Brazil,SP,Botucatu,SP,3507506,0,7,19,257,4.72558,173.49625,0,12.969548864481865,0.02724,SES,2021-07-20,146497
22,2020-05-29,Brazil,SP,Botucatu,SP,3507506,0,7,4,261,4.72558,176.19658,0,2.7304313398909192,0.02682,SES,2021-07-20,146497
22,2020-05-30,Brazil,SP,Botucatu,SP,3507506,0,7,15,276,4.72558,186.32282,0,10.239117524590947,0.02536,SES,2021-07-20,146497
23,2020-05-31,Brazil,SP,Botucatu,SP,3507506,0,7,8,284,4.72558,191.72349,0,5.4608626797818385,0.02465,SES,2021-07-20,146497
23,2020-06-02,Brazil,SP,Botucatu,SP,3507506,0,7,18,302,4.72558,203.87497,0,12.286941029509135,0.02318,SES,2021-07-20,146497
23,2020-06-03,Brazil,SP,Botucatu,SP,3507506,0,7,2,304,4.72558,205.22514,0,1.3652156699454596,0.02303,SES,2021-07-20,146497
23,2020-06-04,Brazil,SP,Botucatu,SP,3507506,0,7,21,325,4.72558,219.40188,0,14.334764534427325,0.02154,SES,2021-07-20,146497
23,2020-06-05,Brazil,SP,Botucatu,SP,3507506,1,8,19,344,5.40066,232.22845,0.6826078349727298,12.969548864481865,0.02326,SES,2021-07-20,146497
23,2020-06-06,Brazil,SP,Botucatu,SP,3507506,1,9,-1,343,6.07574,231.55337,0.6826078349727298,-0.6826078349727298,0.02624,SES,2021-07-20,146497
24,2020-06-07,Brazil,SP,Botucatu,SP,3507506,0,9,35,378,6.07574,255.18126,0,23.891274224045542,0.02381,SES,2021-07-20,146497
24,2020-06-08,Brazil,SP,Botucatu,SP,3507506,0,9,2,380,6.07574,256.53143,0,1.3652156699454596,0.02368,SES,2021-07-20,146497
24,2020-06-09,Brazil,SP,Botucatu,SP,3507506,0,9,3,383,6.07574,258.55667,0,2.047823504918189,0.0235,SES,2021-07-20,146497
24,2020-06-10,Brazil,SP,Botucatu,SP,3507506,0,9,10,393,6.07574,265.3075,0,6.826078349727298,0.0229,SES,2021-07-20,146497
24,2020-06-11,Brazil,SP,Botucatu,SP,3507506,0,9,18,411,6.07574,277.45898999999997,0,12.286941029509135,0.0219,SES,2021-07-20,146497
24,2020-06-12,Brazil,SP,Botucatu,SP,3507506,0,9,14,425,6.07574,286.91015,0,9.556509689618217,0.02118,SES,2021-07-20,146497
24,2020-06-13,Brazil,SP,Botucatu,SP,3507506,1,10,1,426,6.75083,287.58523,0.6826078349727298,0.6826078349727298,0.02347,SES,2021-07-20,146497
25,2020-06-14,Brazil,SP,Botucatu,SP,3507506,0,10,1,427,6.75083,288.26031,0,0.6826078349727298,0.02342,SES,2021-07-20,146497
25,2020-06-15,Brazil,SP,Botucatu,SP,3507506,0,10,1,428,6.75083,288.93539,0,0.6826078349727298,0.02336,SES,2021-07-20,146497
25,2020-06-16,Brazil,SP,Botucatu,SP,3507506,0,10,16,444,6.75083,299.73672,0,10.921725359563677,0.02252,SES,2021-07-20,146497
25,2020-06-19,Brazil,SP,Botucatu,SP,3507506,2,12,40,484,8.10099,326.74003,1.3652156699454596,27.30431339890919,0.02479,SES,2021-07-20,146497
25,2020-06-20,Brazil,SP,Botucatu,SP,3507506,1,13,8,492,8.77608,332.14069,0.6826078349727298,5.4608626797818385,0.02642,SES,2021-07-20,146497
26,2020-06-21,Brazil,SP,Botucatu,SP,3507506,0,13,23,515,8.77608,347.66759,0,15.699980204372785,0.02524,SES,2021-07-20,146497
26,2020-06-22,Brazil,SP,Botucatu,SP,3507506,0,13,1,516,8.77608,348.34267,0,0.6826078349727298,0.02519,SES,2021-07-20,146497
26,2020-06-23,Brazil,SP,Botucatu,SP,3507506,0,13,8,524,8.77608,353.74333,0,5.4608626797818385,0.02481,SES,2021-07-20,146497
26,2020-06-24,Brazil,SP,Botucatu,SP,3507506,1,14,14,538,9.45116,363.19449,0.6826078349727298,9.556509689618217,0.02602,SES,2021-07-20,146497
26,2020-06-25,Brazil,SP,Botucatu,SP,3507506,0,14,14,552,9.45116,372.64565,0,9.556509689618217,0.02536,SES,2021-07-20,146497
26,2020-06-26,Brazil,SP,Botucatu,SP,3507506,1,15,31,583,10.12624,393.57321,0.6826078349727298,21.160842884154622,0.02573,SES,2021-07-20,146497
26,2020-06-27,Brazil,SP,Botucatu,SP,3507506,0,15,5,588,10.12624,396.94863,0,3.413039174863649,0.02551,SES,2021-07-20,146497
27,2020-06-28,Brazil,SP,Botucatu,SP,3507506,0,15,15,603,10.12624,407.07487,0,10.239117524590947,0.02488,SES,2021-07-20,146497
27,2020-06-29,Brazil,SP,Botucatu,SP,3507506,0,15,22,625,10.12624,421.92669,0,15.017372369400055,0.024,SES,2021-07-20,146497
27,2020-06-30,Brazil,SP,Botucatu,SP,3507506,0,15,6,631,10.12624,425.97718,0,4.095647009836378,0.02377,SES,2021-07-20,146497
27,2020-07-01,Brazil,SP,Botucatu,SP,3507506,0,15,24,655,10.12624,442.17917,0,16.382588039345514,0.0229,SES,2021-07-20,146497
27,2020-07-02,Brazil,SP,Botucatu,SP,3507506,0,15,24,679,10.12624,458.38115,0,16.382588039345514,0.02209,SES,2021-07-20,146497
27,2020-07-03,Brazil,SP,Botucatu,SP,3507506,0,15,30,709,10.12624,478.63363,0,20.478235049181894,0.02116,SES,2021-07-20,146497
27,2020-07-04,Brazil,SP,Botucatu,SP,3507506,0,15,3,712,10.12624,480.65888,0,2.047823504918189,0.02107,SES,2021-07-20,146497
28,2020-07-05,Brazil,SP,Botucatu,SP,3507506,0,15,19,731,10.12624,493.48545,0,12.969548864481865,0.02052,SES,2021-07-20,146497
28,2020-07-06,Brazil,SP,Botucatu,SP,3507506,0,15,27,758,10.12624,511.71268,0,18.430411544263702,0.01979,SES,2021-07-20,146497
28,2020-07-07,Brazil,SP,Botucatu,SP,3507506,1,16,13,771,10.80132,520.48876,0.6826078349727298,8.873901854645487,0.02075,SES,2021-07-20,146497
28,2020-07-08,Brazil,SP,Botucatu,SP,3507506,0,16,1,772,10.80132,521.16384,0,0.6826078349727298,0.02073,SES,2021-07-20,146497
28,2020-07-09,Brazil,SP,Botucatu,SP,3507506,1,17,19,791,11.47641,533.99041,0.6826078349727298,12.969548864481865,0.02149,SES,2021-07-20,146497
28,2020-07-10,Brazil,SP,Botucatu,SP,3507506,1,18,27,818,12.15149,552.21765,0.6826078349727298,18.430411544263702,0.022,SES,2021-07-20,146497
28,2020-07-11,Brazil,SP,Botucatu,SP,3507506,0,18,22,840,12.15149,567.06947,0,15.017372369400055,0.02143,SES,2021-07-20,146497
29,2020-07-12,Brazil,SP,Botucatu,SP,3507506,0,18,1,841,12.15149,567.74455,0,0.6826078349727298,0.0214,SES,2021-07-20,146497
29,2020-07-14,Brazil,SP,Botucatu,SP,3507506,0,18,44,885,12.15149,597.44819,0,30.03474473880011,0.02034,SES,2021-07-20,146497
29,2020-07-15,Brazil,SP,Botucatu,SP,3507506,1,19,6,891,12.82657,601.49868,0.6826078349727298,4.095647009836378,0.02132,SES,2021-07-20,146497
29,2020-07-16,Brazil,SP,Botucatu,SP,3507506,0,19,9,900,12.82657,607.57443,0,6.143470514754568,0.02111,SES,2021-07-20,146497
